Lat,Long,Geoid2016,BLF55,BLF55_NZVD2016
-47.56666667,167.3333333,1.323,0.2787,-1.0443
-47.56666667,167.3666667,1.274,0.2786,-0.9954
-47.56666667,167.4,1.228,0.2786,-0.9494
-47.56666667,167.4333333,1.186,0.2786,-0.9074
-47.56666667,167.4666667,1.153,0.2785,-0.8745
-47.56666667,167.5,1.128,0.2785,-0.8495
-47.56666667,167.5333333,1.118,0.2784,-0.8396
-47.56666667,167.5666667,1.12,0.2783,-0.8417
-47.56666667,167.6,1.123,0.2782,-0.8448
-47.56666667,167.6333333,1.142,0.2782,-0.8638
-47.56666667,167.6666667,1.161,0.2781,-0.8829
-47.56666667,167.7,1.186,0.2779,-0.9081
-47.56666667,167.7333333,1.21,0.2778,-0.9322
-47.56666667,167.7666667,1.239,0.2777,-0.9613
-47.56666667,167.8,1.272,0.2775,-0.9945
-47.56666667,167.8333333,1.308,0.2774,-1.0306
-47.56666667,167.8666667,1.347,0.2772,-1.0698
-47.56666667,167.9,1.39,0.277,-1.113
-47.56666667,167.9333333,1.433,0.2768,-1.1562
-47.56666667,167.9666667,1.476,0.2766,-1.1994
-47.56666667,168,1.515,0.2763,-1.2387
-47.56666667,168.0333333,1.552,0.2761,-1.2759
-47.56666667,168.0666667,1.591,0.2758,-1.3152
-47.56666667,168.1,1.627,0.2755,-1.3515
-47.56666667,168.1333333,1.669,0.2752,-1.3938
-47.56666667,168.1666667,1.711,0.2748,-1.4362
-47.56666667,168.2,1.752,0.2745,-1.4775
-47.56666667,168.2333333,1.793,0.2741,-1.5189
-47.56666667,168.2666667,1.831,0.2737,-1.5573
-47.56666667,168.3,1.865,0.2733,-1.5917
-47.56666667,168.3333333,1.897,0.2729,-1.6241
-47.56666667,168.3666667,1.926,0.2724,-1.6536
-47.56666667,168.4,1.954,0.272,-1.682
-47.56666667,168.4333333,1.985,0.2715,-1.7135
-47.56666667,168.4666667,2.011,0.2711,-1.7399
-47.56666667,168.5,2.042,0.2706,-1.7714
-47.56666667,168.5333333,2.08,0.2701,-1.8099
-47.56666667,168.5666667,2.12,0.2697,-1.8503
-47.56666667,168.6,2.164,0.2692,-1.8948
-47.56666667,168.6333333,2.209,0.2687,-1.9403
-47.56666667,168.6666667,2.254,0.2683,-1.9857
-47.56666667,168.7,2.298,0.2678,-2.0302
-47.56666667,168.7333333,2.341,0.2674,-2.0736
-47.56666667,168.7666667,2.383,0.267,-2.116
-47.56666667,168.8,2.425,0.2665,-2.1585
-47.56666667,168.8333333,2.466,0.2661,-2.1999
-47.56666667,168.8666667,2.511,0.2657,-2.2453
-47.56666667,168.9,2.559,0.2654,-2.2936
-47.56666667,168.9333333,2.616,0.265,-2.351
-47.56666667,168.9666667,2.675,0.2647,-2.4103
-47.56666667,169,2.738,0.2643,-2.4737
-47.56666667,169.0333333,2.8,0.264,-2.536
-47.56666667,169.0666667,2.858,0.2637,-2.5943
-47.56666667,169.1,2.909,0.2634,-2.6456
-47.56666667,169.1333333,2.953,0.2632,-2.6898
-47.56666667,169.1666667,2.986,0.2629,-2.7231
-47.56666667,169.2,3.007,0.2627,-2.7443
-47.56666667,169.2333333,3.018,0.2625,-2.7555
-47.56666667,169.2666667,3.021,0.2622,-2.7588
-47.56666667,169.3,3.013,0.2621,-2.7509
-47.56666667,169.3333333,3.001,0.2619,-2.7391
-47.56666667,169.3666667,2.984,0.2617,-2.7223
-47.56666667,169.4,2.965,0.2615,-2.7035
-47.56666667,169.4333333,2.95,0.2614,-2.6886
-47.56666667,169.4666667,2.934,0.2613,-2.6727
-47.56666667,169.5,2.922,0.2611,-2.6609
-47.56666667,169.5333333,2.915,0.261,-2.654
-47.56666667,169.5666667,2.912,0.2609,-2.6511
-47.56666667,169.6,2.915,0.2608,-2.6542
-47.56666667,169.6333333,2.921,0.2607,-2.6603
-47.56666667,169.6666667,2.931,0.2606,-2.6704
-47.56666667,169.7,2.947,0.2606,-2.6864
-47.56666667,169.7333333,2.969,0.2605,-2.7085
-47.56666667,169.7666667,2.995,0.2604,-2.7346
-47.56666667,169.8,3.026,0.2604,-2.7656
-47.56666667,169.8333333,3.059,0.2603,-2.7987
-47.56666667,169.8666667,3.094,0.2603,-2.8337
-47.56666667,169.9,3.13,0.2602,-2.8698
-47.56666667,169.9333333,3.169,0.2602,-2.9088
-47.56666667,169.9666667,3.204,0.2601,-2.9439
-47.56666667,170,3.243,0.2601,-2.9829
-47.56666667,170.0333333,3.284,0.2601,-3.0239
-47.56666667,170.0666667,3.326,0.2601,-3.0659
-47.56666667,170.1,3.371,0.26,-3.111
-47.56666667,170.1333333,3.417,0.26,-3.157
-47.56666667,170.1666667,3.463,0.2997,-3.1633
-47.56666667,170.2,3.503,0.2997,-3.2033
-47.53333333,166.8666667,2.226,0.2788,-1.9472
-47.53333333,166.9,2.1,0.2788,-1.8212
-47.53333333,166.9333333,1.977,0.2788,-1.6982
-47.53333333,166.9666667,1.88,0.2788,-1.6012
-47.53333333,167,1.787,0.2788,-1.5082
-47.53333333,167.0333333,1.713,0.2788,-1.4342
-47.53333333,167.0666667,1.632,0.2788,-1.3532
-47.53333333,167.1,1.568,0.2788,-1.2892
-47.53333333,167.1333333,1.497,0.2788,-1.2182
-47.53333333,167.1666667,1.44,0.2788,-1.1612
-47.53333333,167.2,1.382,0.2788,-1.1032
-47.53333333,167.2333333,1.33,0.2788,-1.0512
-47.53333333,167.2666667,1.278,0.2787,-0.9993
-47.53333333,167.3,1.227,0.2787,-0.9483
-47.53333333,167.3333333,1.177,0.2787,-0.8983
-47.53333333,167.3666667,1.128,0.2786,-0.8494
-47.53333333,167.4,1.08,0.2786,-0.8014
-47.53333333,167.4333333,1.037,0.2786,-0.7584
-47.53333333,167.4666667,0.999,0.2785,-0.7205
-47.53333333,167.5,0.97,0.2785,-0.6915
-47.53333333,167.5333333,0.956,0.2784,-0.6776
-47.53333333,167.5666667,0.948,0.2783,-0.6697
-47.53333333,167.6,0.95,0.2783,-0.6717
-47.53333333,167.6333333,0.958,0.2782,-0.6798
