Lat,Long,Geoid2016,DBL60,BDL60_NZVD2016
-47.4,168.3666667,0.879,0.2608,-0.6182
-47.4,168.4,0.929,0.2616,-0.6674
-47.4,168.4333333,0.98,0.2624,-0.7176
-47.4,168.4666667,1.033,0.2632,-0.7698
-47.4,168.5,1.086,0.264,-0.822
-47.4,168.5333333,1.136,0.2648,-0.8712
-47.4,168.5666667,1.186,0.2656,-0.9204
-47.4,168.6,1.235,0.2664,-0.9686
-47.4,168.6333333,1.28,0.2672,-1.0128
-47.4,168.6666667,1.327,0.2681,-1.0589
-47.4,168.7,1.375,0.2689,-1.1061
-47.4,168.7333333,1.425,0.2697,-1.1553
-47.4,168.7666667,1.476,0.2705,-1.2055
-47.4,168.8,1.528,0.2713,-1.2567
-47.4,168.8333333,1.575,0.2721,-1.3029
-47.4,168.8666667,1.617,0.2729,-1.3441
-47.4,168.9,1.657,0.2737,-1.3833
-47.4,168.9333333,1.694,0.2745,-1.4195
-47.4,168.9666667,1.73,0.2753,-1.4547
-47.4,169,1.769,0.2761,-1.4929
-47.4,169.0333333,1.811,0.2768,-1.5342
-47.4,169.0666667,1.855,0.2776,-1.5774
-47.4,169.1,1.901,0.2783,-1.6227
-47.4,169.1333333,1.946,0.2791,-1.6669
-47.4,169.1666667,1.991,0.2798,-1.7112
-47.4,169.2,2.032,0.2805,-1.7515
-47.4,169.2333333,2.069,0.2811,-1.7879
-47.4,169.2666667,2.097,0.2818,-1.8152
-47.4,169.3,2.123,0.2824,-1.8406
-47.4,169.3333333,2.141,0.2831,-1.8579
-47.4,169.3666667,2.152,0.2837,-1.8683
-47.4,169.4,2.153,0.2842,-1.8688
-47.4,169.4333333,2.158,0.2848,-1.8732
-47.4,169.4666667,2.154,0.2853,-1.8687
-47.4,169.5,2.151,0.2858,-1.8652
-47.4,169.5333333,2.151,0.2863,-1.8647
-47.4,169.5666667,2.157,0.2868,-1.8702
-47.4,169.6,2.171,0.2872,-1.8838
-47.4,169.6333333,2.191,0.2876,-1.9034
-47.4,169.6666667,2.215,0.288,-1.927
-47.4,169.7,2.248,0.2884,-1.9596
-47.4,169.7333333,2.284,0.2887,-1.9953
-47.4,169.7666667,2.322,0.289,-2.033
-47.4,169.8,2.363,0.2892,-2.0738
-47.4,169.8333333,2.405,0.2895,-2.1155
-47.4,169.8666667,2.45,0.2898,-2.1602
-47.4,169.9,2.496,0.2901,-2.2059
-47.4,169.9333333,2.545,0.2903,-2.2547
-47.4,169.9666667,2.594,0.2904,-2.3036
-47.4,170,2.641,0.2537,-2.3873
-47.4,170.0333333,2.686,0.2537,-2.4323
-47.4,170.0666667,2.73,0.2537,-2.4763
-47.4,170.1,2.771,0.2537,-2.5173
-47.4,170.1333333,2.811,0.2537,-2.5573
-47.4,170.1666667,2.849,0.2537,-2.5953
-47.4,170.2,2.883,0.2537,-2.6293
-47.4,170.2333333,2.914,0.2537,-2.6603
-47.4,170.2666667,2.941,0.2537,-2.6873
-47.4,170.3,2.966,0.2537,-2.7123
-47.4,170.3333333,2.987,0.2537,-2.7333
-47.4,170.3666667,3.007,0.2537,-2.7533
-47.4,170.4,3.028,0.2537,-2.7743
-47.4,170.4333333,3.05,0.2537,-2.7963
