Lat,Long,Geoid2016,OTP64,OTP64_NZVD16
-37.26666667,175.3,-33.511,0.0913,33.6023
-37.26666667,175.3333333,-33.492,0.0912,33.5832
-37.26666667,175.3666667,-33.443,0.0911,33.5341
-37.26666667,175.4,-33.398,0.091,33.489
-37.26666667,175.4333333,-33.355,0.0909,33.4459
-37.26666667,175.4666667,-33.317,0.0909,33.4079
-37.26666667,175.5,-33.294,0.0908,33.3848
-37.26666667,175.5333333,-33.283,0.0907,33.3737
-37.26666667,175.5666667,-33.295,0.0906,33.3856
-37.26666667,175.6,-33.305,0.0906,33.3956
-37.26666667,175.6333333,-33.35,0.0905,33.4405
-37.26666667,175.6666667,-33.413,0.0905,33.5035
-37.26666667,175.7,-33.499,0.0904,33.5894
-37.26666667,175.7333333,-33.515,0.0904,33.6054
-37.26666667,175.7666667,-33.528,0.0904,33.6184
-37.26666667,175.8,-33.445,0.0903,33.5353
-37.26666667,175.8333333,-33.305,0.0903,33.3953
-37.26666667,175.8666667,-33.168,0.0903,33.2583
-37.26666667,175.9,-33.03,0.0903,33.1203
-37.26666667,175.9333333,-32.901,0.0903,32.9913
-37.26666667,175.9666667,-32.796,0.0903,32.8863
-37.23333333,171.7333333,-27.42,0.0773,27.4973
-37.23333333,171.7666667,-27.429,0.0773,27.5063
-37.23333333,171.8,-27.439,0.0773,27.5163
-37.23333333,171.8333333,-27.452,0.0773,27.5293
-37.23333333,171.8666667,-27.467,0.0773,27.5443
-37.23333333,171.9,-27.481,0.0773,27.5583
-37.23333333,171.9333333,-27.497,0.0773,27.5743
-37.23333333,171.9666667,-27.512,0.0773,27.5893
-37.23333333,172,-27.532,0.0773,27.6093
-37.23333333,172.0333333,-27.553,0.0773,27.6303
-37.23333333,172.0666667,-27.576,0.0773,27.6533
-37.23333333,172.1,-27.597,0.0773,27.6743
-37.23333333,172.1333333,-27.62,0.0773,27.6973
-37.23333333,172.1666667,-27.643,0.0773,27.7203
-37.23333333,172.2,-27.669,0.0773,27.7463
-37.23333333,172.2333333,-27.699,0.0773,27.7763
-37.23333333,172.2666667,-27.731,0.0773,27.8083
-37.23333333,172.3,-27.771,0.0773,27.8483
-37.23333333,172.3333333,-27.816,0.0773,27.8933
-37.23333333,172.3666667,-27.866,0.0773,27.9433
-37.23333333,172.4,-27.919,0.0773,27.9963
-37.23333333,172.4333333,-27.972,0.0773,28.0493
-37.23333333,172.4666667,-28.021,0.0773,28.0983
-37.23333333,172.5,-28.067,0.0773,28.1443
-37.23333333,172.5333333,-28.11,0.0773,28.1873
-37.23333333,172.5666667,-28.156,0.0773,28.2333
-37.23333333,172.6,-28.202,0.0773,28.2793
-37.23333333,172.6333333,-28.251,0.0773,28.3283
-37.23333333,172.6666667,-28.301,0.0773,28.3783
-37.23333333,172.7,-28.35,0.0773,28.4273
-37.23333333,172.7333333,-28.395,0.0773,28.4723
-37.23333333,172.7666667,-28.44,0.0773,28.5173
-37.23333333,172.8,-28.483,0.0773,28.5603
-37.23333333,172.8333333,-28.528,0.0773,28.6053
-37.23333333,172.8666667,-28.575,0.0773,28.6523
-37.23333333,172.9,-28.624,0.0773,28.7013
-37.23333333,172.9333333,-28.676,0.0773,28.7533
-37.23333333,172.9666667,-28.725,0.0773,28.8023
-37.23333333,173,-28.777,0.0773,28.8543
-37.23333333,173.0333333,-28.832,0.0842,28.9162
-37.23333333,173.0666667,-28.889,0.0844,28.9734
-37.23333333,173.1,-28.949,0.0847,29.0337
-37.23333333,173.1333333,-29.009,0.0849,29.0939
-37.23333333,173.1666667,-29.066,0.0852,29.1512
-37.23333333,173.2,-29.114,0.0855,29.1995
-37.23333333,173.2333333,-29.156,0.0858,29.2418
-37.23333333,173.2666667,-29.195,0.0862,29.2812
-37.23333333,173.3,-29.234,0.0865,29.3205
-37.23333333,173.3333333,-29.279,0.0869,29.3659
-37.23333333,173.3666667,-29.335,0.0873,29.4223
-37.23333333,173.4,-29.4,0.0876,29.4876
-37.23333333,173.4333333,-29.475,0.088,29.563
-37.23333333,173.4666667,-29.558,0.0884,29.6464
-37.23333333,173.5,-29.645,0.0888,29.7338
-37.23333333,173.5333333,-29.732,0.0892,29.8212
-37.23333333,173.5666667,-29.812,0.0896,29.9016
-37.23333333,173.6,-29.886,0.0899,29.9759
-37.23333333,173.6333333,-29.955,0.0903,30.0453
-37.23333333,173.6666667,-30.024,0.0906,30.1146
-37.23333333,173.7,-30.097,0.0909,30.1879
-37.23333333,173.7333333,-30.185,0.0913,30.2763
-37.23333333,173.7666667,-30.281,0.0916,30.3726
-37.23333333,173.8,-30.386,0.0919,30.4779
-37.23333333,173.8333333,-30.498,0.0921,30.5901
-37.23333333,173.8666667,-30.621,0.0924,30.7134
-37.23333333,173.9,-30.754,0.0926,30.8466
-37.23333333,173.9333333,-30.899,0.0928,30.9918
-37.23333333,173.9666667,-31.059,0.0931,31.1521
-37.23333333,174,-31.23,0.0932,31.3232
-37.23333333,174.0333333,-31.406,0.0934,31.4994
-37.23333333,174.0666667,-31.576,0.0935,31.6695
-37.23333333,174.1,-31.722,0.0937,31.8157
-37.23333333,174.1333333,-31.85,0.0938,31.9438
-37.23333333,174.1666667,-31.938,0.0939,32.0319
-37.23333333,174.2,-31.986,0.0939,32.0799
-37.23333333,174.2333333,-32.016,0.094,32.11
-37.23333333,174.2666667,-32.031,0.094,32.125
-37.23333333,174.3,-32.053,0.094,32.147
-37.23333333,174.3333333,-32.072,0.094,32.166
-37.23333333,174.3666667,-32.099,0.094,32.193
-37.23333333,174.4,-32.133,0.094,32.227
-37.23333333,174.4333333,-32.178,0.094,32.272
-37.23333333,174.4666667,-32.229,0.0939,32.3229
-37.23333333,174.5,-32.289,0.0939,32.3829
-37.23333333,174.5333333,-32.352,0.0938,32.4458
-37.23333333,174.5666667,-32.411,0.0937,32.5047
-37.23333333,174.6,-32.472,0.0936,32.5656
-37.23333333,174.6333333,-32.543,0.0935,32.6365
-37.23333333,174.6666667,-32.591,0.0934,32.6844
-37.23333333,174.7,-32.633,0.0933,32.7263
-37.23333333,174.7333333,-32.688,0.0932,32.7812
-37.23333333,174.7666667,-32.753,0.0931,32.8461
-37.23333333,174.8,-32.823,0.093,32.916
-37.23333333,174.8333333,-32.895,0.0929,32.9879
-37.23333333,174.8666667,-32.983,0.0928,33.0758
-37.23333333,174.9,-33.07,0.0927,33.1627
-37.23333333,174.9333333,-33.154,0.0925,33.2465
-37.23333333,174.9666667,-33.247,0.0924,33.3394
-37.23333333,175,-33.32,0.0923,33.4123
-37.23333333,175.0333333,-33.362,0.0922,33.4542
-37.23333333,175.0666667,-33.392,0.0921,33.4841
-37.23333333,175.1,-33.422,0.0919,33.5139
-37.23333333,175.1333333,-33.451,0.0918,33.5428
-37.23333333,175.1666667,-33.49,0.0917,33.5817
-37.23333333,175.2,-33.528,0.0916,33.6196
-37.23333333,175.2333333,-33.567,0.0915,33.6585
-37.23333333,175.2666667,-33.595,0.0914,33.6864
-37.23333333,175.3,-33.616,0.0913,33.7073
-37.23333333,175.3333333,-33.57,0.0912,33.6612
-37.23333333,175.3666667,-33.519,0.0911,33.6101
-37.23333333,175.4,-33.471,0.091,33.562
-37.23333333,175.4333333,-33.437,0.0909,33.5279
-37.23333333,175.4666667,-33.411,0.0909,33.5019
-37.23333333,175.5,-33.396,0.0908,33.4868
-37.23333333,175.5333333,-33.407,0.0907,33.4977
-37.23333333,175.5666667,-33.421,0.0906,33.5116
-37.23333333,175.6,-33.468,0.0906,33.5586
-37.23333333,175.6333333,-33.524,0.0905,33.6145
-37.23333333,175.6666667,-33.593,0.0905,33.6835
-37.23333333,175.7,-33.677,0.0904,33.7674
-37.23333333,175.7333333,-33.648,0.0904,33.7384
-37.23333333,175.7666667,-33.619,0.0904,33.7094
-37.23333333,175.8,-33.536,0.0903,33.6263
-37.23333333,175.8333333,-33.383,0.0903,33.4733
-37.23333333,175.8666667,-33.249,0.0903,33.3393
-37.23333333,175.9,-33.126,0.0903,33.2163
-37.23333333,175.9333333,-33.015,0.0903,33.1053
-37.23333333,175.9666667,-32.914,0.0903,33.0043
-37.2,171.7333333,-27.475,0.0773,27.5523
-37.2,171.7666667,-27.484,0.0773,27.5613
-37.2,171.8,-27.497,0.0773,27.5743
-37.2,171.8333333,-27.511,0.0773,27.5883
-37.2,171.8666667,-27.528,0.0773,27.6053
-37.2,171.9,-27.545,0.0773,27.6223
-37.2,171.9333333,-27.564,0.0773,27.6413
-37.2,171.9666667,-27.583,0.0773,27.6603
-37.2,172,-27.605,0.0773,27.6823
-37.2,172.0333333,-27.628,0.0773,27.7053
-37.2,172.0666667,-27.654,0.0773,27.7313
-37.2,172.1,-27.68,0.0773,27.7573
-37.2,172.1333333,-27.705,0.0773,27.7823
-37.2,172.1666667,-27.732,0.0773,27.8093
-37.2,172.2,-27.761,0.0773,27.8383
