Lat,Long,Geoid2016,AUK46,AUCK46_NZVD2016
-38.63333333,172.9,-25.005,0.2919,25.2969
-38.63333333,172.9333333,-25.044,0.2919,25.3359
-38.63333333,172.9666667,-25.083,0.2919,25.3749
-38.63333333,173,-25.123,0.2919,25.4149
-38.63333333,173.0333333,-25.163,0.2919,25.4549
-38.63333333,173.0666667,-25.199,0.2919,25.4909
-38.63333333,173.1,-25.238,0.2919,25.5299
-38.63333333,173.1333333,-25.276,0.2919,25.5679
-38.63333333,173.1666667,-25.312,0.2919,25.6039
-38.63333333,173.2,-25.344,0.2919,25.6359
-38.63333333,173.2333333,-25.375,0.2919,25.6669
-38.63333333,173.2666667,-25.397,0.2919,25.6889
-38.63333333,173.3,-25.421,0.2919,25.7129
-38.63333333,173.3333333,-25.437,0.2919,25.7289
-38.63333333,173.3666667,-25.445,0.2919,25.7369
-38.63333333,173.4,-25.444,0.2919,25.7359
-38.63333333,173.4333333,-25.435,0.2919,25.7269
-38.63333333,173.4666667,-25.423,0.2919,25.7149
-38.63333333,173.5,-25.411,0.2919,25.7029
-38.63333333,173.5333333,-25.404,0.2919,25.6959
-38.63333333,173.5666667,-25.398,0.2919,25.6899
-38.63333333,173.6,-25.394,0.2919,25.6859
-38.63333333,173.6333333,-25.387,0.2919,25.6789
-38.63333333,173.6666667,-25.38,0.2919,25.6719
-38.63333333,173.7,-25.376,0.2948,25.6708
-38.63333333,173.7333333,-25.375,0.2948,25.6698
-38.63333333,173.7666667,-25.381,0.2948,25.6758
-38.63333333,173.8,-25.393,0.2948,25.6878
-38.63333333,173.8333333,-25.41,0.2948,25.7048
-38.63333333,173.8666667,-25.433,0.2948,25.7278
-38.63333333,173.9,-25.459,0.2948,25.7538
-38.63333333,173.9333333,-25.488,0.2948,25.7828
-38.63333333,173.9666667,-25.517,0.2948,25.8118
-38.63333333,174,-25.54,0.2948,25.8348
-38.63333333,174.0333333,-25.554,0.2948,25.8488
-38.63333333,174.0666667,-25.557,0.2948,25.8518
-38.63333333,174.1,-25.556,0.2948,25.8508
-38.63333333,174.1333333,-25.553,0.2948,25.8478
-38.63333333,174.1666667,-25.554,0.2948,25.8488
-38.63333333,174.2,-25.563,0.2949,25.8579
-38.63333333,174.2333333,-25.584,0.2949,25.8789
-38.63333333,174.2666667,-25.619,0.2949,25.9139
-38.63333333,174.3,-25.67,0.2949,25.9649
-38.63333333,174.3333333,-25.739,0.2949,26.0339
-38.63333333,174.3666667,-25.829,0.2949,26.1239
-38.63333333,174.4,-25.928,0.2949,26.2229
-38.63333333,174.4333333,-26.031,0.295,26.326
-38.63333333,174.4666667,-26.143,0.295,26.438
-38.63333333,174.5,-26.257,0.295,26.552
-38.63333333,174.5333333,-26.385,0.295,26.68
-38.63333333,174.5666667,-26.525,0.2951,26.8201
-38.63333333,174.6,-26.676,0.2951,26.9711
-38.63333333,174.6333333,-26.837,0.2951,27.1321
-38.63333333,174.6666667,-26.994,0.2952,27.2892
-38.63333333,174.7,-27.118,0.2952,27.4132
-38.63333333,174.7333333,-27.206,0.2953,27.5013
-38.63333333,174.7666667,-27.298,0.2953,27.5933
-38.63333333,174.8,-27.379,0.2954,27.6744
-38.63333333,174.8333333,-27.444,0.2954,27.7394
-38.63333333,174.8666667,-27.484,0.2955,27.7795
-38.63333333,174.9,-27.521,0.2956,27.8166
-38.63333333,174.9333333,-27.597,0.2957,27.8927
-38.63333333,174.9666667,-27.671,0.2958,27.9668
-38.63333333,175,-27.757,0.2959,28.0529
-38.63333333,175.0333333,-27.842,0.296,28.138
-38.63333333,175.0666667,-27.933,0.2961,28.2291
-38.63333333,175.1,-28.019,0.2963,28.3153
-38.63333333,175.1333333,-28.1,0.2964,28.3964
-38.63333333,175.1666667,-28.176,0.2965,28.4725
-38.63333333,175.2,-28.238,0.2967,28.5347
-38.63333333,175.2333333,-28.291,0.2969,28.5879
-38.63333333,175.2666667,-28.281,0.297,28.578
-38.63333333,175.3,-28.277,0.2972,28.5742
-38.63333333,175.3333333,-28.285,0.2974,28.5824
-38.63333333,175.3666667,-28.324,0.2976,28.6216
-38.63333333,175.4,-28.398,0.2977,28.6957
-38.63333333,175.4333333,-28.468,0.2979,28.7659
-38.63333333,175.4666667,-28.545,0.2981,28.8431
-38.63333333,175.5,-28.613,0.2983,28.9113
-38.63333333,175.5333333,-28.699,0.2984,28.9974
-38.63333333,175.5666667,-28.741,0.2986,29.0396
-38.63333333,175.6,-28.733,0.2987,29.0317
-38.63333333,175.6333333,-28.613,0.2989,28.9119
-38.63333333,175.6666667,-28.463,0.299,28.762
-38.63333333,175.7,-28.275,0.2992,28.5742
-38.63333333,175.7333333,-28.092,0.2993,28.3913
-38.63333333,175.7666667,-27.907,0.2994,28.2064
-38.63333333,175.8,-27.747,0.2995,28.0465
-38.63333333,175.8333333,-27.597,0.2996,27.8966
-38.63333333,175.8666667,-27.477,0.2997,27.7767
-38.63333333,175.9,-27.369,0.2998,27.6688
-38.63333333,175.9333333,-27.283,0.2999,27.5829
-38.63333333,175.9666667,-27.228,0.2999,27.5279
-38.63333333,176,-27.183,0.3,27.483
-38.63333333,176.0333333,-27.112,0.3,27.412
-38.63333333,176.0666667,-27.043,0.3001,27.3431
-38.63333333,176.1,-26.964,0.3001,27.2641
-38.63333333,176.1333333,-26.917,0.3001,27.2171
-38.63333333,176.1666667,-26.863,0.3002,27.1632
-38.63333333,176.2,-26.831,0.3002,27.1312
-38.63333333,176.2333333,-26.822,0.3002,27.1222
-38.63333333,176.2666667,-26.828,0.3002,27.1282
-38.63333333,176.3,-26.857,0.3002,27.1572
-38.63333333,176.3333333,-26.87,0.3002,27.1702
-38.63333333,176.3666667,-26.847,0.3002,27.1472
-38.63333333,176.4,-26.776,0.3002,27.0762
-38.63333333,176.4333333,-26.664,0.3002,26.9642
-38.63333333,176.4666667,-26.538,0.3002,26.8382
-38.63333333,176.5,-26.397,0.3002,26.6972
-38.63333333,176.5333333,-26.258,0.3002,26.5582
