Lat,Long,Geoid2016,GSB26,GSB26_NZVD2016
-39.9,176.6,-18.444,0.3536,18.7976
-39.9,176.6333333,-18.514,0.3536,18.8676
-39.9,176.6666667,-18.594,0.3535,18.9475
-39.9,176.7,-18.697,0.3535,19.0505
-39.9,176.7333333,-18.813,0.3535,19.1665
-39.9,176.7666667,-18.932,0.3535,19.2855
-39.9,176.8,-19.057,0.3535,19.4105
-39.9,176.8333333,-19.173,0.3535,19.5265
-39.9,176.8666667,-19.288,0.3535,19.6415
-39.9,176.9,-19.351,0.3535,19.7045
-39.9,176.9333333,-19.356,0.3535,19.7095
-39.9,176.9666667,-19.349,0.3534,19.7024
-39.9,177,-19.359,0.3534,19.7124
-39.9,177.0333333,-19.373,0.3534,19.7264
-39.9,177.0666667,-19.381,0.3534,19.7344
-39.9,177.1,-19.387,0.3534,19.7404
-39.9,177.1333333,-19.374,0.3533,19.7273
-39.9,177.1666667,-19.359,0.3533,19.7123
-39.9,177.2,-19.346,0.3533,19.6993
-39.9,177.2333333,-19.331,0.3533,19.6843
-39.9,177.2666667,-19.335,0.3532,19.6882
-39.9,177.3,-19.349,0.3532,19.7022
-39.9,177.3333333,-19.371,0.3531,19.7241
-39.9,177.3666667,-19.398,0.3531,19.7511
-39.9,177.4,-19.42,0.353,19.773
-39.9,177.4333333,-19.44,0.353,19.793
-39.9,177.4666667,-19.456,0.3529,19.8089
-39.9,177.5,-19.458,0.3529,19.8109
-39.9,177.5333333,-19.455,0.3528,19.8078
-39.9,177.5666667,-19.446,0.3527,19.7987
-39.9,177.6,-19.446,0.3526,19.7986
-39.9,177.6333333,-19.445,0.3525,19.7975
-39.9,177.6666667,-19.451,0.3524,19.8034
-39.9,177.7,-19.465,0.3523,19.8173
-39.9,177.7333333,-19.485,0.3522,19.8372
-39.9,177.7666667,-19.516,0.352,19.868
-39.9,177.8,-19.554,0.3519,19.9059
-39.9,177.8333333,-19.603,0.3518,19.9548
-39.9,177.8666667,-19.66,0.3516,20.0116
-39.9,177.9,-19.719,0.3514,20.0704
-39.9,177.9333333,-19.774,0.3512,20.1252
-39.9,177.9666667,-19.829,0.3511,20.1801
-39.9,178,-19.881,0.3509,20.2319
-39.9,178.0333333,-19.937,0.3507,20.2877
-39.9,178.0666667,-20.001,0.3504,20.3514
-39.9,178.1,-20.066,0.3502,20.4162
-39.9,178.1333333,-20.126,0.35,20.476
-39.9,178.1666667,-20.173,0.3498,20.5228
-39.9,178.2,-20.184,0.3495,20.5335
-39.9,178.2333333,-20.163,0.3493,20.5123
