Lat,Long,Geoid2016,LTN37,LTN37_NZVD2016
-45.96666667,174.2666667,-1.25,0.3404,1.5904
-45.96666667,174.3,-1.25,0.3404,1.5904
-45.96666667,174.3333333,-1.25,0.3404,1.5904
-45.96666667,174.3666667,-1.249,0.3404,1.5894
-45.96666667,174.4,-1.254,0.3404,1.5944
-45.96666667,174.4333333,-1.266,0.3404,1.6064
-45.96666667,174.4666667,-1.279,0.3404,1.6194
-45.96666667,174.5,-1.295,0.3404,1.6354
-45.96666667,174.5333333,-1.312,0.3404,1.6524
-45.96666667,174.5666667,-1.329,0.3404,1.6694
-45.96666667,174.6,-1.344,0.3404,1.6844
-45.96666667,174.6333333,-1.357,0.3404,1.6974
-45.96666667,174.6666667,-1.368,0.3404,1.7084
-45.96666667,174.7,-1.376,0.3404,1.7164
-45.96666667,174.7333333,-1.38,0.3404,1.7204
-45.96666667,174.7666667,-1.384,0.3404,1.7244
-45.96666667,174.8,-1.389,0.3404,1.7294
-45.96666667,174.8333333,-1.396,0.3404,1.7364
-45.96666667,174.8666667,-1.408,0.3404,1.7484
-45.96666667,174.9,-1.428,0.3404,1.7684
-45.96666667,174.9333333,-1.454,0.3404,1.7944
-45.96666667,174.9666667,-1.483,0.3404,1.8234
-45.96666667,175,-1.516,0.3404,1.8564
-45.96666667,175.0333333,-1.544,0.3404,1.8844
-45.96666667,175.0666667,-1.559,0.3404,1.8994
-45.96666667,175.1,-1.566,0.3404,1.9064
-45.96666667,175.1333333,-1.564,0.3404,1.9044
-45.96666667,175.1666667,-1.557,0.3404,1.8974
-45.93333333,167.6,-4.649,0.3404,4.9894
-45.93333333,167.6333333,-4.661,0.3404,5.0014
-45.93333333,167.6666667,-4.691,0.3404,5.0314
-45.93333333,167.7,-4.771,0.3404,5.1114
-45.93333333,167.7333333,-4.876,0.3404,5.2164
-45.93333333,167.7666667,-4.997,0.3404,5.3374
-45.93333333,167.8,-5.114,0.3404,5.4544
-45.93333333,167.8333333,-5.217,0.3404,5.5574
-45.93333333,167.8666667,-5.304,0.3404,5.6444
-45.93333333,167.9,-5.366,0.3404,5.7064
-45.93333333,167.9333333,-5.4,0.3404,5.7404
-45.93333333,167.9666667,-5.415,0.3404,5.7554
-45.93333333,168,-5.421,0.3404,5.7614
-45.93333333,168.0333333,-5.405,0.3404,5.7454
-45.93333333,168.0666667,-5.376,0.3404,5.7164
-45.93333333,168.1,-5.348,0.3404,5.6884
-45.93333333,168.1333333,-5.336,0.3404,5.6764
-45.93333333,168.1666667,-5.349,0.3404,5.6894
-45.93333333,168.2,-5.378,0.3404,5.7184
-45.93333333,168.2333333,-5.373,0.3404,5.7134
-45.93333333,168.2666667,-5.339,0.3404,5.6794
-45.93333333,168.3,-5.31,0.3404,5.6504
-45.93333333,168.3333333,-5.318,0.3404,5.6584
-45.93333333,168.3666667,-5.363,0.3404,5.7034
-45.93333333,168.4,-5.425,0.3404,5.7654
-45.93333333,168.4333333,-5.494,0.3404,5.8344
-45.93333333,168.4666667,-5.54,0.3404,5.8804
-45.93333333,168.5,-5.586,0.3404,5.9264
-45.93333333,168.5333333,-5.611,0.3404,5.9514
-45.93333333,168.5666667,-5.599,0.3404,5.9394
-45.93333333,168.6,-5.595,0.3404,5.9354
-45.93333333,168.6333333,-5.603,0.3404,5.9434
-45.93333333,168.6666667,-5.619,0.3404,5.9594
-45.93333333,168.7,-5.652,0.3404,5.9924
-45.93333333,168.7333333,-5.696,0.3404,6.0364
-45.93333333,168.7666667,-5.755,0.3404,6.0954
-45.93333333,168.8,-5.833,0.3404,6.1734
-45.93333333,168.8333333,-5.925,0.3404,6.2654
-45.93333333,168.8666667,-6.017,0.3404,6.3574
-45.93333333,168.9,-6.104,0.3404,6.4444
-45.93333333,168.9333333,-6.174,0.3404,6.5144
-45.93333333,168.9666667,-6.235,0.3404,6.5754
-45.93333333,169,-6.293,0.3404,6.6334
-45.93333333,169.0333333,-6.349,0.3404,6.6894
-45.93333333,169.0666667,-6.396,0.3404,6.7364
-45.93333333,169.1,-6.455,0.3404,6.7954
-45.93333333,169.1333333,-6.484,0.3404,6.8244
-45.93333333,169.1666667,-6.506,0.3404,6.8464
-45.93333333,169.2,-6.535,0.3404,6.8754
-45.93333333,169.2333333,-6.558,0.3404,6.8984
-45.93333333,169.2666667,-6.604,0.3404,6.9444
-45.93333333,169.3,-6.678,0.3404,7.0184
-45.93333333,169.3333333,-6.812,0.3404,7.1524
-45.93333333,169.3666667,-6.814,0.3404,7.1544
-45.93333333,169.4,-6.768,0.3404,7.1084
-45.93333333,169.4333333,-6.713,0.3261,7.0391
-45.93333333,169.4666667,-6.646,0.3262,6.9722
-45.93333333,169.5,-6.602,0.3264,6.9284
-45.93333333,169.5333333,-6.594,0.3267,6.9207
-45.93333333,169.5666667,-6.591,0.327,6.918
-45.93333333,169.6,-6.569,0.3273,6.8963
-45.93333333,169.6333333,-6.566,0.3277,6.8937
-45.93333333,169.6666667,-6.582,0.3282,6.9102
-45.93333333,169.7,-6.596,0.3285,6.9245
-45.93333333,169.7333333,-6.601,0.3288,6.9298
-45.93333333,169.7666667,-6.604,0.3291,6.9331
-45.93333333,169.8,-6.611,0.3294,6.9404
-45.93333333,169.8333333,-6.621,0.3298,6.9508
-45.93333333,169.8666667,-6.622,0.3302,6.9522
-45.93333333,169.9,-6.65,0.3306,6.9806
-45.93333333,169.9333333,-6.634,0.3309,6.9649
-45.93333333,169.9666667,-6.574,0.3314,6.9054
-45.93333333,170,-6.489,0.3318,6.8208
-45.93333333,170.0333333,-6.388,0.3322,6.7202
-45.93333333,170.0666667,-6.292,0.3326,6.6246
-45.93333333,170.1,-6.183,0.3331,6.5161
-45.93333333,170.1333333,-6.083,0.3335,6.4165
-45.93333333,170.1666667,-5.988,0.334,6.322
-45.93333333,170.2,-5.916,0.3344,6.2504
-45.93333333,170.2333333,-5.856,0.3349,6.1909
-45.93333333,170.2666667,-5.8,0.3354,6.1354
-45.93333333,170.3,-5.719,0.3359,6.0549
-45.93333333,170.3333333,-5.644,0.3364,5.9804
-45.93333333,170.3666667,-5.566,0.3369,5.9029
-45.93333333,170.4,-5.483,0.3374,5.8204
-45.93333333,170.4333333,-5.41,0.338,5.748
-45.93333333,170.4666667,-5.347,0.3385,5.6855
-45.93333333,170.5,-5.278,0.3391,5.6171
-45.93333333,170.5333333,-5.209,0.3396,5.5486
-45.93333333,170.5666667,-5.142,0.3402,5.4822
-45.93333333,170.6,-5.067,0.3407,5.4077
-45.93333333,170.6333333,-4.984,0.3413,5.3253
-45.93333333,170.6666667,-4.89,0.3418,5.2318
-45.93333333,170.7,-4.785,0.3424,5.1274
-45.93333333,170.7333333,-4.672,0.343,5.015
-45.93333333,170.7666667,-4.547,0.3435,4.8905
-45.93333333,170.8,-4.419,0.3441,4.7631
-45.93333333,170.8333333,-4.283,0.3446,4.6276
-45.93333333,170.8666667,-4.137,0.3452,4.4822
-45.93333333,170.9,-3.988,0.3457,4.3337
-45.93333333,170.9333333,-3.832,0.3462,4.1782
-45.93333333,170.9666667,-3.668,0.3468,4.0148
-45.93333333,171,-3.499,0.3473,3.8463
-45.93333333,171.0333333,-3.324,0.3478,3.6718
-45.93333333,171.0666667,-3.147,0.3483,3.4953
-45.93333333,171.1,-2.972,0.3487,3.3207
-45.93333333,171.1333333,-2.802,0.3492,3.1512
-45.93333333,171.1666667,-2.639,0.3496,2.9886
-45.93333333,171.2,-2.491,0.35,2.841
-45.93333333,171.2333333,-2.351,0.3504,2.7014
-45.93333333,171.2666667,-2.227,0.3508,2.5778
-45.93333333,171.3,-2.11,0.3512,2.4612
-45.93333333,171.3333333,-2.005,0.3516,2.3566
-45.93333333,171.3666667,-1.911,0.3519,2.2629
-45.93333333,171.4,-1.826,0.3522,2.1782
-45.93333333,171.4333333,-1.756,0.3525,2.1085
-45.93333333,171.4666667,-1.688,0.3528,2.0408
-45.93333333,171.5,-1.63,0.3531,1.9831
-45.93333333,171.5333333,-1.578,0.3534,1.9314
-45.93333333,171.5666667,-1.532,0.3536,1.8856
-45.93333333,171.6,-1.49,0.3538,1.8438
-45.93333333,171.6333333,-1.444,0.3541,1.7981
-45.93333333,171.6666667,-1.401,0.3543,1.7553
-45.93333333,171.7,-1.36,0.3545,1.7145
-45.93333333,171.7333333,-1.324,0.3546,1.6786
-45.93333333,171.7666667,-1.292,0.3548,1.6468
-45.93333333,171.8,-1.264,0.355,1.619
-45.93333333,171.8333333,-1.24,0.3551,1.5951
-45.93333333,171.8666667,-1.22,0.3553,1.5753
-45.93333333,171.9,-1.202,0.3554,1.5574
-45.93333333,171.9333333,-1.187,0.3555,1.5425
-45.93333333,171.9666667,-1.171,0.3556,1.5266
-45.93333333,172,-1.158,0.3557,1.5137
-45.93333333,172.0333333,-1.145,0.3558,1.5008
-45.93333333,172.0666667,-1.132,0.3559,1.4879
-45.93333333,172.1,-1.117,0.356,1.473
-45.93333333,172.1333333,-1.104,0.3561,1.4601
-45.93333333,172.1666667,-1.092,0.3562,1.4482
-45.93333333,172.2,-1.084,0.3562,1.4402
-45.93333333,172.2333333,-1.08,0.3563,1.4363
-45.93333333,172.2666667,-1.08,0.3563,1.4363
-45.93333333,172.3,-1.082,0.3564,1.4384
-45.93333333,172.3333333,-1.083,0.3564,1.4394
-45.93333333,172.3666667,-1.085,0.3565,1.4415
-45.93333333,172.4,-1.086,0.3565,1.4425
-45.93333333,172.4333333,-1.09,0.3565,1.4465
-45.93333333,172.4666667,-1.095,0.3565,1.4515
-45.93333333,172.5,-1.102,0.3565,1.4585
-45.93333333,172.5333333,-1.11,0.3565,1.4665
-45.93333333,172.5666667,-1.117,0.3404,1.4574
-45.93333333,172.6,-1.122,0.3404,1.4624
-45.93333333,172.6333333,-1.124,0.3404,1.4644
-45.93333333,172.6666667,-1.124,0.3404,1.4644
-45.93333333,172.7,-1.123,0.3404,1.4634
-45.93333333,172.7333333,-1.123,0.3404,1.4634
-45.93333333,172.7666667,-1.122,0.3404,1.4624
-45.93333333,172.8,-1.127,0.3404,1.4674
-45.93333333,172.8333333,-1.129,0.3404,1.4694
-45.93333333,172.8666667,-1.132,0.3404,1.4724
-45.93333333,172.9,-1.131,0.3404,1.4714
-45.93333333,172.9333333,-1.122,0.3404,1.4624
-45.93333333,172.9666667,-1.117,0.3404,1.4574
-45.93333333,173,-1.114,0.3404,1.4544
-45.93333333,173.0333333,-1.11,0.3404,1.4504
-45.93333333,173.0666667,-1.108,0.3404,1.4484
