Lat,Long,Geoid2016,MOT53,MOT53_NZVD2016
-41.6,178.6333333,-16.577,0.3093,16.8863
-41.56666667,173.4,-16.309,0.3093,16.6183
-41.56666667,173.4333333,-16.029,0.3093,16.3383
-41.56666667,173.4666667,-15.814,0.3093,16.1233
-41.56666667,173.5,-15.615,0.3093,15.9243
-41.56666667,173.5333333,-15.431,0.3093,15.7403
-41.56666667,173.5666667,-15.246,0.3093,15.5553
-41.56666667,173.6,-15.06,0.3093,15.3693
-41.56666667,173.6333333,-14.868,0.3093,15.1773
-41.56666667,173.6666667,-14.665,0.3093,14.9743
-41.56666667,173.7,-14.441,0.3093,14.7503
-41.56666667,173.7333333,-14.231,0.3093,14.5403
-41.56666667,173.7666667,-14.04,0.3093,14.3493
-41.56666667,173.8,-13.867,0.3093,14.1763
-41.56666667,173.8333333,-13.69,0.3093,13.9993
-41.56666667,173.8666667,-13.519,0.3093,13.8283
-41.56666667,173.9,-13.347,0.3093,13.6563
-41.56666667,173.9333333,-13.182,0.287,13.469
-41.56666667,173.9666667,-13.03,0.287,13.317
-41.56666667,174,-12.849,0.287,13.136
-41.56666667,174.0333333,-12.652,0.287,12.939
-41.56666667,174.0666667,-12.474,0.2869,12.7609
-41.56666667,174.1,-12.31,0.2868,12.5968
-41.56666667,174.1333333,-12.153,0.2867,12.4397
-41.56666667,174.1666667,-11.988,0.2866,12.2746
-41.56666667,174.2,-11.859,0.2865,12.1455
-41.56666667,174.2333333,-11.744,0.2863,12.0303
-41.56666667,174.2666667,-11.64,0.2862,11.9262
-41.56666667,174.3,-11.549,0.286,11.835
-41.56666667,174.3333333,-11.469,0.2858,11.7548
-41.56666667,174.3666667,-11.409,0.2857,11.6947
-41.56666667,174.4,-11.357,0.2855,11.6425
-41.56666667,174.4333333,-11.32,0.2852,11.6052
-41.56666667,174.4666667,-11.298,0.285,11.583
-41.56666667,174.5,-11.282,0.2848,11.5668
-41.56666667,174.5333333,-11.285,0.2845,11.5695
-41.56666667,174.5666667,-11.314,0.2843,11.5983
-41.56666667,174.6,-11.354,0.284,11.638
-41.56666667,174.6333333,-11.406,0.2837,11.6897
-41.56666667,174.6666667,-11.471,0.2835,11.7545
-41.56666667,174.7,-11.549,0.2832,11.8322
-41.56666667,174.7333333,-11.619,0.2829,11.9019
-41.56666667,174.7666667,-11.696,0.2826,11.9786
-41.56666667,174.8,-11.77,0.2823,12.0523
-41.56666667,174.8333333,-11.842,0.282,12.124
-41.56666667,174.8666667,-11.919,0.2817,12.2007
-41.56666667,174.9,-12.01,0.2814,12.2914
-41.56666667,174.9333333,-12.124,0.2811,12.4051
-41.56666667,174.9666667,-12.262,0.2808,12.5428
-41.56666667,175,-12.435,0.2805,12.7155
-41.56666667,175.0333333,-12.64,0.2802,12.9202
-41.56666667,175.0666667,-12.852,0.2799,13.1319
-41.56666667,175.1,-13.065,0.2796,13.3446
-41.56666667,175.1333333,-13.268,0.2793,13.5473
-41.56666667,175.1666667,-13.47,0.279,13.749
-41.56666667,175.2,-13.662,0.2787,13.9407
-41.56666667,175.2333333,-13.873,0.2784,14.1514
-41.56666667,175.2666667,-14.062,0.2781,14.3401
-41.56666667,175.3,-14.239,0.2779,14.5169
-41.56666667,175.3333333,-14.298,0.2776,14.5756
-41.56666667,175.3666667,-14.219,0.2774,14.4964
-41.56666667,175.4,-14.186,0.2772,14.4632
-41.56666667,175.4333333,-14.153,0.2769,14.4299
-41.56666667,175.4666667,-14.1,0.2767,14.3767
-41.56666667,175.5,-14.05,0.2765,14.3265
-41.56666667,175.5333333,-14,0.2763,14.2763
-41.56666667,175.5666667,-13.935,0.2762,14.2112
-41.56666667,175.6,-13.859,0.276,14.135
-41.56666667,175.6333333,-13.775,0.2758,14.0508
-41.56666667,175.6666667,-13.685,0.2757,13.9607
-41.56666667,175.7,-13.598,0.2756,13.8736
-41.56666667,175.7333333,-13.525,0.2755,13.8005
