Lat,Long,Geoid2016,NPR62,NPR62_NZVD2016
-41.33333333,175.7,-16.136,0.2405,16.3765
-41.33333333,175.7333333,-16.163,0.2407,16.4037
-41.33333333,175.7666667,-16.189,0.2409,16.4299
-41.33333333,175.8,-16.138,0.241,16.379
-41.33333333,175.8333333,-16.074,0.2412,16.3152
-41.33333333,175.8666667,-16.001,0.2413,16.2423
-41.33333333,175.9,-15.94,0.2415,16.1815
-41.33333333,175.9333333,-15.884,0.2416,16.1256
-41.33333333,175.9666667,-15.827,0.2418,16.0688
-41.33333333,176,-15.764,0.2419,16.0059
-41.33333333,176.0333333,-15.69,0.242,15.932
-41.33333333,176.0666667,-15.606,0.2421,15.8481
-41.33333333,176.1,-15.515,0.2422,15.7572
-41.33333333,176.1333333,-15.421,0.2423,15.6633
-41.33333333,176.1666667,-15.327,0.2424,15.5694
-41.33333333,176.2,-15.24,0.2425,15.4825
-41.33333333,176.2333333,-15.16,0.2425,15.4025
-41.33333333,176.2666667,-15.091,0.2426,15.3336
-41.33333333,176.3,-15.034,0.2426,15.2766
-41.33333333,176.3333333,-14.993,0.2426,15.2356
-41.33333333,176.3666667,-14.967,0.2426,15.2096
-41.33333333,176.4,-14.95,0.2426,15.1926
-41.33333333,176.4333333,-14.938,0.2426,15.1806
-41.33333333,176.4666667,-14.926,0.2426,15.1686
-41.33333333,176.5,-14.909,0.2425,15.1515
-41.33333333,176.5333333,-14.886,0.2425,15.1285
-41.33333333,176.5666667,-14.856,0.2424,15.0984
-41.33333333,176.6,-14.826,0.2423,15.0683
-41.33333333,176.6333333,-14.797,0.2422,15.0392
-41.33333333,176.6666667,-14.776,0.2421,15.0181
-41.33333333,176.7,-14.763,0.2419,15.0049
-41.33333333,176.7333333,-14.753,0.2418,14.9948
-41.33333333,176.7666667,-14.741,0.2416,14.9826
-41.33333333,176.8,-14.72,0.2415,14.9615
-41.33333333,176.8333333,-14.685,0.2413,14.9263
-41.33333333,176.8666667,-14.639,0.2411,14.8801
-41.33333333,176.9,-14.59,0.2409,14.8309
-41.33333333,176.9333333,-14.546,0.2407,14.7867
-41.33333333,176.9666667,-14.511,0.2405,14.7515
-41.33333333,177,-14.488,0.2403,14.7283
-41.33333333,177.0333333,-14.48,0.2401,14.7201
-41.33333333,177.0666667,-14.48,0.2399,14.7199
-41.33333333,177.1,-14.484,0.2397,14.7237
-41.33333333,177.1333333,-14.488,0.2394,14.7274
-41.33333333,177.1666667,-14.489,0.2392,14.7282
-41.33333333,177.2,-14.485,0.239,14.724
-41.33333333,177.2333333,-14.478,0.2389,14.7169
-41.33333333,177.2666667,-14.468,0.2387,14.7067
-41.33333333,177.3,-14.459,0.2386,14.6976
-41.33333333,177.3333333,-14.454,0.2385,14.6925
-41.33333333,177.3666667,-14.454,0.2384,14.6924
-41.33333333,177.4,-14.458,0.2026,14.6606
-41.33333333,177.4333333,-14.466,0.2026,14.6686
-41.33333333,177.4666667,-14.476,0.2026,14.6786
-41.33333333,177.5,-14.49,0.2026,14.6926
-41.33333333,177.5333333,-14.506,0.2026,14.7086
-41.33333333,177.5666667,-14.523,0.2026,14.7256
-41.33333333,177.6,-14.539,0.2026,14.7416
-41.33333333,177.6333333,-14.556,0.2026,14.7586
-41.33333333,177.6666667,-14.571,0.2026,14.7736
-41.33333333,177.7,-14.591,0.2026,14.7936
-41.33333333,177.7333333,-14.614,0.2026,14.8166
-41.33333333,177.7666667,-14.641,0.2026,14.8436
-41.33333333,177.8,-14.674,0.2026,14.8766
-41.33333333,177.8333333,-14.709,0.2026,14.9116
-41.33333333,177.8666667,-14.749,0.2026,14.9516
-41.33333333,177.9,-14.793,0.2026,14.9956
-41.33333333,177.9333333,-14.842,0.2026,15.0446
-41.33333333,177.9666667,-14.899,0.2026,15.1016
-41.33333333,178,-14.966,0.2026,15.1686
-41.33333333,178.0333333,-15.047,0.2026,15.2496
-41.33333333,178.0666667,-15.135,0.2026,15.3376
-41.33333333,178.1,-15.228,0.2026,15.4306
-41.33333333,178.1333333,-15.316,0.2026,15.5186
-41.33333333,178.1666667,-15.396,0.2026,15.5986
-41.33333333,178.2,-15.462,0.2026,15.6646
-41.33333333,178.2333333,-15.519,0.2026,15.7216
-41.33333333,178.2666667,-15.572,0.2026,15.7746
-41.33333333,178.3,-15.629,0.2026,15.8316
-41.33333333,178.3333333,-15.693,0.2026,15.8956
-41.33333333,178.3666667,-15.771,0.2026,15.9736
-41.33333333,178.4,-15.858,0.2026,16.0606
-41.33333333,178.4333333,-15.951,0.2026,16.1536
-41.33333333,178.4666667,-16.045,0.2026,16.2476
-41.33333333,178.5,-16.142,0.2026,16.3446
-41.33333333,178.5333333,-16.244,0.2026,16.4466
-41.33333333,178.5666667,-16.35,0.2026,16.5526
-41.33333333,178.6,-16.461,0.2026,16.6636
-41.33333333,178.6333333,-16.578,0.2026,16.7806
-41.33333333,178.6666667,-16.698,0.2026,16.9006
-41.33333333,178.7,-16.819,0.2026,17.0216
-41.33333333,178.7333333,-16.935,0.2026,17.1376
-41.33333333,178.7666667,-17.045,0.2026,17.2476
-41.33333333,178.8,-17.149,0.2026,17.3516
-41.33333333,178.8333333,-17.246,0.2026,17.4486
-41.33333333,178.8666667,-17.331,0.2026,17.5336
-41.33333333,178.9,-17.407,0.2026,17.6096
-41.33333333,178.9333333,-17.474,0.2026,17.6766
-41.33333333,178.9666667,-17.533,0.2026,17.7356
-41.33333333,179,-17.587,0.2026,17.7896
-41.33333333,179.0333333,-17.638,0.2026,17.8406
-41.33333333,179.0666667,-17.689,0.2026,17.8916
-41.33333333,179.1,-17.74,0.2026,17.9426
-41.33333333,179.1333333,-17.789,0.2026,17.9916
-41.33333333,179.1666667,-17.833,0.2026,18.0356
-41.33333333,179.2,-17.869,0.2026,18.0716
-41.33333333,179.2333333,-17.902,0.2026,18.1046
-41.33333333,179.2666667,-17.931,0.2026,18.1336
-41.3,174.4,-12.196,0.2367,12.4327
-41.3,174.4333333,-12.138,0.2367,12.3747
-41.3,174.4666667,-12.116,0.2368,12.3528
-41.3,174.5,-12.117,0.2368,12.3538
-41.3,174.5333333,-12.168,0.2368,12.4048
-41.3,174.5666667,-12.259,0.2368,12.4958
-41.3,174.6,-12.383,0.2368,12.6198
-41.3,174.6333333,-12.531,0.2369,12.7679
-41.3,174.6666667,-12.694,0.2369,12.9309
-41.3,174.7,-12.808,0.237,13.045
-41.3,174.7333333,-12.92,0.237,13.157
-41.3,174.7666667,-12.994,0.2371,13.2311
-41.3,174.8,-13.091,0.2371,13.3281
-41.3,174.8333333,-13.21,0.2372,13.4472
-41.3,174.8666667,-13.36,0.2373,13.5973
-41.3,174.9,-13.544,0.2373,13.7813
-41.3,174.9333333,-13.732,0.2374,13.9694
-41.3,174.9666667,-13.935,0.2375,14.1725
-41.3,175,-14.138,0.2376,14.3756
-41.3,175.0333333,-14.259,0.2377,14.4967
-41.3,175.0666667,-14.405,0.2378,14.6428
-41.3,175.1,-14.411,0.2379,14.6489
-41.3,175.1333333,-14.449,0.238,14.687
-41.3,175.1666667,-14.512,0.2382,14.7502
-41.3,175.2,-14.636,0.2383,14.8743
-41.3,175.2333333,-14.782,0.2384,15.0204
-41.3,175.2666667,-14.973,0.2385,15.2115
-41.3,175.3,-15.163,0.2387,15.4017
-41.3,175.3333333,-15.361,0.2388,15.5998
-41.3,175.3666667,-15.524,0.239,15.763
-41.3,175.4,-15.622,0.2391,15.8611
-41.3,175.4333333,-15.716,0.2393,15.9553
-41.3,175.4666667,-15.777,0.2394,16.0164
-41.3,175.5,-15.868,0.2396,16.1076
-41.3,175.5333333,-15.935,0.2397,16.1747
-41.3,175.5666667,-16.009,0.2399,16.2489
-41.3,175.6,-16.081,0.2401,16.3211
-41.3,175.6333333,-16.126,0.2402,16.3662
-41.3,175.6666667,-16.196,0.2404,16.4364
-41.3,175.7,-16.277,0.2405,16.5175
-41.3,175.7333333,-16.334,0.2407,16.5747
-41.3,175.7666667,-16.396,0.2409,16.6369
-41.3,175.8,-16.397,0.241,16.638
-41.3,175.8333333,-16.366,0.2412,16.6072
-41.3,175.8666667,-16.271,0.2413,16.5123
-41.3,175.9,-16.217,0.2415,16.4585
-41.3,175.9333333,-16.165,0.2416,16.4066
-41.3,175.9666667,-16.112,0.2418,16.3538
-41.3,176,-16.061,0.2419,16.3029
-41.3,176.0333333,-15.996,0.242,16.238
-41.3,176.0666667,-15.921,0.2421,16.1631
-41.3,176.1,-15.835,0.2422,16.0772
-41.3,176.1333333,-15.739,0.2423,15.9813
-41.3,176.1666667,-15.636,0.2424,15.8784
-41.3,176.2,-15.528,0.2425,15.7705
-41.3,176.2333333,-15.433,0.2426,15.6756
-41.3,176.2666667,-15.34,0.2426,15.5826
-41.3,176.3,-15.268,0.2426,15.5106
-41.3,176.3333333,-15.215,0.2427,15.4577
-41.3,176.3666667,-15.186,0.2427,15.4287
-41.3,176.4,-15.171,0.2427,15.4137
-41.3,176.4333333,-15.166,0.2426,15.4086
-41.3,176.4666667,-15.162,0.2426,15.4046
-41.3,176.5,-15.158,0.2425,15.4005
-41.3,176.5333333,-15.144,0.2425,15.3865
-41.3,176.5666667,-15.121,0.2424,15.3634
-41.3,176.6,-15.091,0.2423,15.3333
-41.3,176.6333333,-15.061,0.2422,15.3032
-41.3,176.6666667,-15.033,0.2421,15.2751
-41.3,176.7,-15.015,0.242,15.257
-41.3,176.7333333,-15.005,0.2418,15.2468
