Lat,Long,Geoid2016,WGN53,WGN53_NZVD2016
-42.4,175.4,-9.015,0.4268,9.4418
-42.4,175.4333333,-9.083,0.4272,9.5102
-42.4,175.4666667,-9.152,0.4276,9.5796
-42.4,175.5,-9.221,0.4281,9.6491
-42.4,175.5333333,-9.292,0.4285,9.7205
-42.4,175.5666667,-9.365,0.4289,9.7939
-42.4,175.6,-9.436,0.4293,9.8653
-42.4,175.6333333,-9.505,0.4297,9.9347
-42.4,175.6666667,-9.571,0.4301,10.0011
-42.4,175.7,-9.635,0.4305,10.0655
-42.4,175.7333333,-9.698,0.4308,10.1288
-42.4,175.7666667,-9.765,0.4312,10.1962
-42.4,175.8,-9.833,0.4315,10.2645
-42.4,175.8333333,-9.906,0.4319,10.3379
-42.4,175.8666667,-9.981,0.4322,10.4132
-42.4,175.9,-10.057,0.4325,10.4895
-42.4,175.9333333,-10.134,0.4328,10.5668
-42.4,175.9666667,-10.215,0.4331,10.6481
-42.4,176,-10.295,0.4334,10.7284
-42.4,176.0333333,-10.377,0.4336,10.8106
-42.4,176.0666667,-10.459,0.4339,10.8929
-42.4,176.1,-10.536,0.4341,10.9701
-42.4,176.1333333,-10.613,0.4344,11.0474
-42.4,176.1666667,-10.685,0.4346,11.1196
-42.4,176.2,-10.754,0.4348,11.1888
-42.4,176.2333333,-10.822,0.435,11.257
-42.4,176.2666667,-10.89,0.4351,11.3251
-42.4,176.3,-10.955,0.4353,11.3903
-42.4,176.3333333,-11.019,0.4354,11.4544
-42.4,176.3666667,-11.078,0.4355,11.5135
-42.4,176.4,-11.134,0.4356,11.5696
-42.4,176.4333333,-11.186,0.4356,11.6216
-42.4,176.4666667,-11.237,0.4082,11.6452
-42.4,176.5,-11.29,0.4082,11.6982
-42.4,176.5333333,-11.349,0.4082,11.7572
-42.4,176.5666667,-11.409,0.4082,11.8172
-42.4,176.6,-11.479,0.4082,11.8872
-42.4,176.6333333,-11.546,0.4082,11.9542
-42.4,176.6666667,-11.617,0.4082,12.0252
-42.4,176.7,-11.688,0.4082,12.0962
-42.4,176.7333333,-11.759,0.4082,12.1672
-42.4,176.7666667,-11.829,0.4082,12.2372
-42.4,176.8,-11.901,0.4082,12.3092
-42.4,176.8333333,-11.968,0.4082,12.3762
-42.4,176.8666667,-12.033,0.4082,12.4412
-42.4,176.9,-12.096,0.4082,12.5042
-42.4,176.9333333,-12.156,0.4082,12.5642
-42.4,176.9666667,-12.214,0.4082,12.6222
-42.4,177,-12.276,0.4082,12.6842
-42.4,177.0333333,-12.339,0.4082,12.7472
-42.4,177.0666667,-12.406,0.4082,12.8142
-42.4,177.1,-12.469,0.4082,12.8772
-42.4,177.1333333,-12.538,0.4082,12.9462
-42.4,177.1666667,-12.606,0.4082,13.0142
-42.4,177.2,-12.676,0.4082,13.0842
-42.4,177.2333333,-12.744,0.4082,13.1522
-42.4,177.2666667,-12.823,0.4082,13.2312
-42.4,177.3,-12.894,0.4082,13.3022
-42.4,177.3333333,-12.973,0.4082,13.3812
-42.4,177.3666667,-13.058,0.4082,13.4662
-42.4,177.4,-13.147,0.4082,13.5552
-42.4,177.4333333,-13.238,0.4082,13.6462
-42.4,177.4666667,-13.326,0.4082,13.7342
-42.36666667,173.1333333,-15.923,0.4058,16.3288
-42.36666667,173.1666667,-15.735,0.4058,16.1408
-42.36666667,173.2,-15.644,0.4058,16.0498
-42.36666667,173.2333333,-15.505,0.4059,15.9109
-42.36666667,173.2666667,-15.349,0.4059,15.7549
-42.36666667,173.3,-15.255,0.4059,15.6609
-42.36666667,173.3333333,-14.995,0.406,15.401
-42.36666667,173.3666667,-14.808,0.406,15.214
-42.36666667,173.4,-14.523,0.4061,14.9291
-42.36666667,173.4333333,-14.288,0.4062,14.6942
-42.36666667,173.4666667,-14.081,0.4063,14.4873
-42.36666667,173.5,-13.859,0.4064,14.2654
-42.36666667,173.5333333,-13.64,0.4065,14.0465
-42.36666667,173.5666667,-13.417,0.4066,13.8236
-42.36666667,173.6,-13.189,0.4067,13.5957
-42.36666667,173.6333333,-12.941,0.4068,13.3478
-42.36666667,173.6666667,-12.708,0.407,13.115
-42.36666667,173.7,-12.465,0.4072,12.8722
-42.36666667,173.7333333,-12.233,0.4073,12.6403
-42.36666667,173.7666667,-11.979,0.4075,12.3865
-42.36666667,173.8,-11.731,0.4077,12.1387
-42.36666667,173.8333333,-11.476,0.4079,11.8839
-42.36666667,173.8666667,-11.214,0.4081,11.6221
-42.36666667,173.9,-10.956,0.4083,11.3643
-42.36666667,173.9333333,-10.707,0.4086,11.1156
-42.36666667,173.9666667,-10.463,0.4088,10.8718
-42.36666667,174,-10.234,0.4091,10.6431
-42.36666667,174.0333333,-10.022,0.4093,10.4313
-42.36666667,174.0666667,-9.814,0.4096,10.2236
-42.36666667,174.1,-9.629,0.4099,10.0389
-42.36666667,174.1333333,-9.454,0.4102,9.8642
-42.36666667,174.1666667,-9.305,0.4105,9.7155
-42.36666667,174.2,-9.18,0.4109,9.5909
-42.36666667,174.2333333,-9.065,0.4112,9.4762
-42.36666667,174.2666667,-8.966,0.4116,9.3776
-42.36666667,174.3,-8.87,0.4119,9.2819
-42.36666667,174.3333333,-8.777,0.4123,9.1893
-42.36666667,174.3666667,-8.687,0.4127,9.0997
-42.36666667,174.4,-8.598,0.4131,9.0111
