Lat,Long,Geoid2016,DUN58,DUN58_NZVD2016
-47.33333333,171.6333333,2.995,0.3257,-2.6693
-47.33333333,171.6666667,2.986,0.3257,-2.6603
-47.33333333,171.7,2.978,0.3257,-2.6523
-47.33333333,171.7333333,2.973,0.3257,-2.6473
-47.33333333,171.7666667,2.971,0.3257,-2.6453
-47.33333333,171.8,2.971,0.3257,-2.6453
-47.33333333,171.8333333,2.975,0.3257,-2.6493
-47.33333333,171.8666667,2.979,0.3257,-2.6533
-47.33333333,171.9,2.985,0.3257,-2.6593
-47.33333333,171.9333333,2.99,0.3257,-2.6643
-47.33333333,171.9666667,2.993,0.3257,-2.6673
-47.33333333,172,2.995,0.3257,-2.6693
-47.33333333,172.0333333,2.995,0.3257,-2.6693
-47.33333333,172.0666667,2.994,0.3257,-2.6683
-47.33333333,172.1,2.99,0.3257,-2.6643
-47.33333333,172.1333333,2.985,0.3257,-2.6593
-47.33333333,172.1666667,2.979,0.3257,-2.6533
-47.33333333,172.2,2.972,0.3257,-2.6463
-47.33333333,172.2333333,2.967,0.3257,-2.6413
-47.33333333,172.2666667,2.964,0.3257,-2.6383
-47.33333333,172.3,2.959,0.3257,-2.6333
-47.33333333,172.3333333,2.951,0.3257,-2.6253
-47.33333333,172.3666667,2.936,0.3257,-2.6103
-47.33333333,172.4,2.918,0.3257,-2.5923
-47.33333333,172.4333333,2.9,0.3257,-2.5743
-47.33333333,172.4666667,2.887,0.3257,-2.5613
-47.33333333,172.5,2.882,0.3257,-2.5563
-47.33333333,172.5333333,2.889,0.3257,-2.5633
-47.3,167.2333333,0.359,0.3257,-0.0333
-47.3,167.2666667,0.289,0.3257,0.0367
-47.3,167.3,0.217,0.3257,0.1087
-47.3,167.3333333,0.139,0.3257,0.1867
-47.3,167.3666667,0.062,0.3257,0.2637
-47.3,167.4,-0.001,0.3257,0.3267
-47.3,167.4333333,-0.061,0.3257,0.3867
-47.3,167.4666667,-0.107,0.3257,0.4327
-47.3,167.5,-0.139,0.3257,0.4647
-47.3,167.5333333,-0.147,0.3257,0.4727
-47.3,167.5666667,-0.14,0.3257,0.4657
-47.3,167.6,-0.128,0.3257,0.4537
-47.3,167.6333333,-0.118,0.3257,0.4437
-47.3,167.6666667,-0.11,0.3257,0.4357
-47.3,167.7,-0.108,0.3257,0.4337
-47.3,167.7333333,-0.106,0.3257,0.4317
-47.3,167.7666667,-0.106,0.3257,0.4317
-47.3,167.8,-0.102,0.3257,0.4277
-47.3,167.8333333,-0.098,0.3257,0.4237
-47.3,167.8666667,-0.086,0.3257,0.4117
-47.3,167.9,-0.075,0.3257,0.4007
-47.3,167.9333333,-0.059,0.3257,0.3847
-47.3,167.9666667,-0.041,0.3257,0.3667
-47.3,168,-0.021,0.3257,0.3467
-47.3,168.0333333,0.002,0.3257,0.3237
-47.3,168.0666667,0.027,0.3257,0.2987
-47.3,168.1,0.055,0.3257,0.2707
-47.3,168.1333333,0.083,0.3257,0.2427
-47.3,168.1666667,0.115,0.3257,0.2107
-47.3,168.2,0.149,0.3257,0.1767
-47.3,168.2333333,0.184,0.3257,0.1417
-47.3,168.2666667,0.215,0.3171,0.1021
-47.3,168.3,0.249,0.3171,0.0681
-47.3,168.3333333,0.282,0.3171,0.0351
-47.3,168.3666667,0.315,0.3171,0.0021
-47.3,168.4,0.352,0.3172,-0.0348
-47.3,168.4333333,0.393,0.3172,-0.0758
-47.3,168.4666667,0.436,0.3172,-0.1188
