Lat,Long,Geoid2016,NSN55,NSN55_NZVD16
-43.56666667,175.3666667,-13.486,0.3285,13.8145
-43.56666667,175.4,-13.497,0.3285,13.8255
-43.56666667,175.4333333,-13.498,0.3285,13.8265
-43.56666667,175.4666667,-13.499,0.3285,13.8275
-43.56666667,175.5,-13.495,0.3285,13.8235
-43.56666667,175.5333333,-13.495,0.3285,13.8235
-43.56666667,175.5666667,-13.497,0.3285,13.8255
-43.56666667,175.6,-13.499,0.3285,13.8275
-43.53333333,170.4333333,-14.208,0.3285,14.5365
-43.53333333,170.4666667,-13.927,0.3285,14.2555
-43.53333333,170.5,-13.905,0.3285,14.2335
-43.53333333,170.5333333,-14.156,0.3285,14.4845
-43.53333333,170.5666667,-14.409,0.3285,14.7375
-43.53333333,170.6,-14.278,0.3285,14.6065
-43.53333333,170.6333333,-14.367,0.3285,14.6955
-43.53333333,170.6666667,-14.365,0.3285,14.6935
-43.53333333,170.7,-14.282,0.3285,14.6105
-43.53333333,170.7333333,-14.209,0.3285,14.5375
-43.53333333,170.7666667,-14.068,0.3285,14.3965
-43.53333333,170.8,-13.871,0.3285,14.1995
-43.53333333,170.8333333,-13.723,0.3285,14.0515
-43.53333333,170.8666667,-13.683,0.3285,14.0115
-43.53333333,170.9,-13.778,0.3285,14.1065
-43.53333333,170.9333333,-13.922,0.3285,14.2505
-43.53333333,170.9666667,-13.954,0.3285,14.2825
-43.53333333,171,-13.973,0.3285,14.3015
-43.53333333,171.0333333,-14.038,0.3285,14.3665
-43.53333333,171.0666667,-13.971,0.3285,14.2995
-43.53333333,171.1,-13.925,0.3285,14.2535
-43.53333333,171.1333333,-13.879,0.3285,14.2075
-43.53333333,171.1666667,-13.79,0.3285,14.1185
-43.53333333,171.2,-13.828,0.3285,14.1565
-43.53333333,171.2333333,-13.928,0.3285,14.2565
-43.53333333,171.2666667,-14.085,0.3285,14.4135
-43.53333333,171.3,-14.425,0.3285,14.7535
-43.53333333,171.3333333,-14.365,0.3285,14.6935
-43.53333333,171.3666667,-14.289,0.3163,14.6053
-43.53333333,171.4,-14.15,0.3163,14.4663
-43.53333333,171.4333333,-13.969,0.3163,14.2853
-43.53333333,171.4666667,-13.913,0.3163,14.2293
-43.53333333,171.5,-13.902,0.3163,14.2183
-43.53333333,171.5333333,-13.715,0.3163,14.0313
-43.53333333,171.5666667,-13.516,0.3163,13.8323
-43.53333333,171.6,-13.355,0.3163,13.6713
-43.53333333,171.6333333,-13.232,0.3163,13.5483
-43.53333333,171.6666667,-13.133,0.3162,13.4492
-43.53333333,171.7,-13.075,0.3163,13.3913
-43.53333333,171.7333333,-13.026,0.3163,13.3423
-43.53333333,171.7666667,-12.967,0.3163,13.2833
-43.53333333,171.8,-12.901,0.3163,13.2173
-43.53333333,171.8333333,-12.832,0.3164,13.1484
-43.53333333,171.8666667,-12.756,0.3165,13.0725
-43.53333333,171.9,-12.681,0.3166,12.9976
-43.53333333,171.9333333,-12.601,0.3167,12.9177
-43.53333333,171.9666667,-12.537,0.3168,12.8538
-43.53333333,172,-12.479,0.317,12.796
-43.53333333,172.0333333,-12.435,0.3171,12.7521
-43.53333333,172.0666667,-12.393,0.3173,12.7103
-43.53333333,172.1,-12.35,0.3176,12.6676
-43.53333333,172.1333333,-12.314,0.3178,12.6318
-43.53333333,172.1666667,-12.276,0.3181,12.5941
-43.53333333,172.2,-12.238,0.3184,12.5564
-43.53333333,172.2333333,-12.203,0.3188,12.5218
-43.53333333,172.2666667,-12.169,0.3191,12.4881
-43.53333333,172.3,-12.138,0.3195,12.4575
-43.53333333,172.3333333,-12.113,0.32,12.433
-43.53333333,172.3666667,-12.086,0.3204,12.4064
-43.53333333,172.4,-12.066,0.3209,12.3869
-43.53333333,172.4333333,-12.041,0.3215,12.3625
-43.53333333,172.4666667,-12.022,0.322,12.344
-43.53333333,172.5,-12.011,0.3226,12.3336
-43.53333333,172.5333333,-12.001,0.3232,12.3242
-43.53333333,172.5666667,-11.998,0.3239,12.3219
-43.53333333,172.6,-11.988,0.3246,12.3126
-43.53333333,172.6333333,-11.99,0.3253,12.3153
-43.53333333,172.6666667,-11.986,0.3261,12.3121
-43.53333333,172.7,-11.98,0.3269,12.3069
-43.53333333,172.7333333,-11.977,0.3277,12.3047
-43.53333333,172.7666667,-11.974,0.3285,12.3025
-43.53333333,172.8,-11.977,0.3294,12.3064
-43.53333333,172.8333333,-11.979,0.3303,12.3093
-43.53333333,172.8666667,-11.976,0.3312,12.3072
-43.53333333,172.9,-11.964,0.3321,12.2961
-43.53333333,172.9333333,-11.941,0.3331,12.2741
-43.53333333,172.9666667,-11.909,0.3341,12.2431
-43.53333333,173,-11.87,0.3351,12.2051
-43.53333333,173.0333333,-11.829,0.3361,12.1651
-43.53333333,173.0666667,-11.791,0.3371,12.1281
-43.53333333,173.1,-11.753,0.3382,12.0912
-43.53333333,173.1333333,-11.718,0.3392,12.0572
-43.53333333,173.1666667,-11.686,0.3403,12.0263
-43.53333333,173.2,-11.654,0.3413,11.9953
-43.53333333,173.2333333,-11.626,0.3424,11.9684
-43.53333333,173.2666667,-11.6,0.3434,11.9434
-43.53333333,173.3,-11.577,0.3445,11.9215
-43.53333333,173.3333333,-11.559,0.3455,11.9045
-43.53333333,173.3666667,-11.547,0.3466,11.8936
-43.53333333,173.4,-11.534,0.3476,11.8816
-43.53333333,173.4333333,-11.526,0.3486,11.8746
-43.53333333,173.4666667,-11.518,0.3496,11.8676
-43.53333333,173.5,-11.515,0.3505,11.8655
-43.53333333,173.5333333,-11.518,0.3515,11.8695
-43.53333333,173.5666667,-11.526,0.3524,11.8784
-43.53333333,173.6,-11.535,0.3533,11.8883
-43.53333333,173.6333333,-11.548,0.3542,11.9022
-43.53333333,173.6666667,-11.556,0.3551,11.9111
-43.53333333,173.7,-11.56,0.3559,11.9159
-43.53333333,173.7333333,-11.562,0.3567,11.9187
-43.53333333,173.7666667,-11.562,0.3574,11.9194
-43.53333333,173.8,-11.561,0.3582,11.9192
-43.53333333,173.8333333,-11.561,0.3589,11.9199
-43.53333333,173.8666667,-11.556,0.3595,11.9155
-43.53333333,173.9,-11.548,0.3602,11.9082
-43.53333333,173.9333333,-11.535,0.3608,11.8958
-43.53333333,173.9666667,-11.519,0.3613,11.8803
-43.53333333,174,-11.497,0.3618,11.8588
-43.53333333,174.0333333,-11.478,0.3623,11.8403
-43.53333333,174.0666667,-11.465,0.3628,11.8278
-43.53333333,174.1,-11.462,0.3632,11.8252
-43.53333333,174.1333333,-11.47,0.3635,11.8335
-43.53333333,174.1666667,-11.486,0.3638,11.8498
-43.53333333,174.2,-11.511,0.3641,11.8751
-43.53333333,174.2333333,-11.539,0.3642,11.9032
-43.53333333,174.2666667,-11.575,0.3643,11.9393
-43.53333333,174.3,-11.611,0.3285,11.9395
-43.53333333,174.3333333,-11.655,0.3285,11.9835
-43.53333333,174.3666667,-11.706,0.3285,12.0345
-43.53333333,174.4,-11.764,0.3285,12.0925
-43.53333333,174.4333333,-11.82,0.3285,12.1485
-43.53333333,174.4666667,-11.882,0.3285,12.2105
-43.53333333,174.5,-11.947,0.3285,12.2755
-43.53333333,174.5333333,-12.016,0.3285,12.3445
-43.53333333,174.5666667,-12.09,0.3285,12.4185
